date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value,value_pathogen_RSV_National_Negatives_Value,value_pathogen_RV_EV_National_Negatives_Value,value_pathogen_RSV_Region_9_Negatives_Value
2019-07-06,8549.0,433,400,7110,5087,522
2019-07-13,8422.0,477,392,7443,5508,558
2019-07-20,8111.0,416,359,6863,5019,510
2019-07-27,7755.0,425,299,6486,4784,512
2019-08-03,7874.0,414,363,6550,4875,568
2019-08-10,8038.0,447,270,6697,4761,489
2019-08-17,8987.0,411,266,6804,4819,594
2019-08-24,10096.0,426,267,6897,4668,584
2019-08-31,11817.0,486,287,7932,4940,746
2019-09-07,13158.0,576,309,8891,5156,749
2019-09-14,14831.0,688,446,10359,5782,826
2019-09-21,15977.0,779,544,10928,5846,866
2019-09-28,17414.0,803,1073,12254,6473,987
2019-10-05,21915.0,884,1387,14281,7678,1859
2019-10-12,22953.0,919,1853,15826,8266,1910
2019-10-19,24857.0,997,1739,16806,8563,2029
2019-10-26,27419.0,1128,1710,16442,8674,1965
2019-11-02,28910.0,1115,1802,17275,9219,2109
2019-11-09,34586.0,1174,1824,18886,10181,2575
2019-11-16,37728.0,1366,1885,19213,10437,2707
2019-11-23,44148.0,1394,2055,21207,11698,2879
2019-11-30,43817.0,1254,2138,19791,11013,2581
2019-12-07,48877.0,1384,2694,23540,12959,3194
2019-12-14,56444.0,1496,3381,24852,13197,3348
2019-12-21,71584.0,1545,4112,28582,14724,3264
2019-12-28,95757.0,1771,4099,31303,14833,3227
2020-01-04,88681.0,1796,4255,33498,16742,3574
2020-01-11,75585.0,1891,3780,32875,16647,4010
2020-01-18,79746.0,1960,3449,32638,15965,4429
2020-01-25,90072.0,2139,3570,35075,16737,4709
2020-02-01,108307.0,2395,3494,37542,17344,5067
2020-02-08,111289.0,2275,3323,37909,16465,4800
2020-02-15,95418.0,2308,3259,37194,16277,4753
2020-02-22,79832.0,2040,3072,35283,15398,4157
