date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value,value_pathogen_RSV_National_Negatives_Value,value_pathogen_RV_EV_National_Negatives_Value,value_pathogen_RSV_Region_9_Negatives_Value,national_newu_ILITOTAL,colorado_new_ILITOTAL,new_mexico_new_ILITOTAL
2019-07-06,8549.0,433,400,7110,5087,522,9986,354,88
2019-07-13,8422.0,477,392,7443,5508,558,8549,387,104
2019-07-20,8111.0,416,359,6863,5019,510,8422,399,100
2019-07-27,7755.0,425,299,6486,4784,512,8111,338,86
2019-08-03,7874.0,414,363,6550,4875,568,7755,374,91
2019-08-10,8038.0,447,270,6697,4761,489,7874,361,79
2019-08-17,8987.0,411,266,6804,4819,594,8038,457,110
2019-08-24,10096.0,426,267,6897,4668,584,8987,550,173
2019-08-31,11817.0,486,287,7932,4940,746,10096,793,165
2019-09-07,13158.0,576,309,8891,5156,749,11817,773,213
2019-09-14,14831.0,688,446,10359,5782,826,13158,917,180
2019-09-21,15977.0,779,544,10928,5846,866,14831,918,175
2019-09-28,17414.0,803,1073,12254,6473,987,15977,879,191
2019-10-05,21915.0,884,1387,14281,7678,1859,17414,870,211
2019-10-12,22953.0,919,1853,15826,8266,1910,21915,957,260
2019-10-19,24857.0,997,1739,16806,8563,2029,22953,979,338
2019-10-26,27419.0,1128,1710,16442,8674,1965,24857,1007,383
2019-11-02,28910.0,1115,1802,17275,9219,2109,27419,919,366
2019-11-09,34586.0,1174,1824,18886,10181,2575,28910,982,495
2019-11-16,37728.0,1366,1885,19213,10437,2707,34586,1112,612
2019-11-23,44148.0,1394,2055,21207,11698,2879,37728,1216,799
2019-11-30,43817.0,1254,2138,19791,11013,2581,44148,912,656
2019-12-07,48877.0,1384,2694,23540,12959,3194,43817,1465,956
2019-12-14,56444.0,1496,3381,24852,13197,3348,48877,1635,1227
2019-12-21,71584.0,1545,4112,28582,14724,3264,56444,1943,1621
2019-12-28,95757.0,1771,4099,31303,14833,3227,71584,2569,3084
2020-01-04,88681.0,1796,4255,33498,16742,3574,95757,2178,2520
2020-01-11,75585.0,1891,3780,32875,16647,4010,88681,2472,2463
2020-01-18,79746.0,1960,3449,32638,15965,4429,75585,2403,2513
2020-01-25,90072.0,2139,3570,35075,16737,4709,79746,2869,2367
2020-02-01,108307.0,2395,3494,37542,17344,5067,90072,3136,2163
2020-02-08,111289.0,2275,3323,37909,16465,4800,108307,2903,1771
2020-02-15,95418.0,2308,3259,37194,16277,4753,111289,2373,1449
2020-02-22,79832.0,2040,3072,35283,15398,4157,95418,2086,1310
2020-02-29,74809.0,2194,3795,35973,15567,4453,79832,2046,1099
2020-03-07,78779.0,2210,4969,38242,17133,4554,74809,2238,1262
2020-03-14,89571.0,3425,6301,47610,22530,4828,78779,2793,1406
2020-03-21,78584.0,4257,4416,53078,25700,2884,89571,1504,1144
2020-03-28,53142.0,3195,3560,35341,18287,1757,78584,656,663
2020-04-04,36251.0,1712,2277,23275,12589,1116,53142,472,393
2020-04-11,24974.0,828,1708,15420,9690,818,36251,325,272
2020-04-18,18265.0,621,1142,11703,7771,830,24974,217,253
2020-04-25,15164.0,480,1050,10304,7284,730,18265,192,204
2020-05-02,12817.0,363,751,8650,7043,536,15164,128,171
2020-05-09,11066.0,315,682,7426,5632,448,12817,107,190
2020-05-16,10480.0,324,615,7066,5429,439,11066,126,174
2020-05-23,11735.0,405,496,6609,5362,436,10480,105,136
2020-05-30,9614.0,310,400,5731,4655,337,11735,100,111
2020-06-06,9325.0,314,393,5744,4790,365,9614,63,79
2020-06-13,9580.0,344,334,5664,4640,374,9325,71,106
2020-06-20,11866.0,280,350,5620,4710,249,9580,74,85
2020-06-27,15499.0,297,281,5570,4644,273,11866,87,123
